16:44:04: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 49] Logger initialized
16:44:04: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 80] current velocity: (0.0, 0.0, 4.0)
16:44:04: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 95] TARGET Z IS OFF, MOVING -1 METERS
16:44:04: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 80] current velocity: (0.0, 0.0, -1.0)
16:44:04: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 95] TARGET Z IS OFF, MOVING 1 METERS
16:44:05: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 80] current velocity: (0.0, 0.0, 0.0)
16:44:05: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 80] current velocity: (0.0, 0.0, 0.0)
16:44:06: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 80] current velocity: (0.0, 0.0, 0.0)
16:44:06: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 80] current velocity: (0.0, 0.0, 0.0)
16:44:07: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 80] current velocity: (0.0, 0.0, 0.0)
16:44:07: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 80] current velocity: (0.0, 2.5, 0.0)
16:44:07: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 127] TARGET NOT IN SIGHT, TURNING
16:44:08: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 80] current velocity: (0.0, 2.2222222222222223, 0.0)
16:44:08: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 127] TARGET NOT IN SIGHT, TURNING
